s.|čehl|čehl, -an, -ad|чехол||||||||||
s.|celindr|cel’indr, -an, -ad|цилиндр|syinteri|||||||||
s.|cement|cement, -an, -ad|цемент|sementti|||||||||
s.|čemodan|čemodan, -an, -ad|чемодан|matkalaukku|||||||||
s.|čerepah|čer’epah, -an, -ad|черепаха|kilpikonna|||||||||
s.|čeresedelnik|čer’es’s’edel’n’ik, -an, -ad|чересседельник|sitolkkahihna|vedada čer’es’s’edel’n’ik (KTK)|подтянуть чересседельник|vetää sitolkkahihna||||||
s.|čerešn’|čer’ešn’, -in, -id|черешня||||||||||
s.|cerkv|cerkv, -an, -ad|церковь|kirkko|||||||||
s. mon.|černilad|čern’il/ad, -uun, -uud|чернила|muste|||||||||
s.|černovik|černovik, -an, -ad|черновик||||||||||
s.|červonč|červonc, -an, -ad|червонец|kymmenruplanen|||||||||
s.|česnok|česnok, -an, -ad|чеснок|valkosipuli|||||||||
s.|čest’|čest’, -in, -id|почёт, слава|kunnia, maine|||||||||
s. dem.|čiepiine|čiepi/in’e, -ižen, -št|цепочка|ketju (pieni), kaulaketju|||||||||
a. yhd.|čiepišolij|čiepiš/ol’ij|цепной|ketjussa oleva|||||||||
s.|ciferblat|ciferblat, -an, -ad|циферблат|numerotaulu|||||||||
s.|čigan|čigan ~ cigan, -an, -ad|цыган|romani, mustalainen|||||||||
s. dem.|čiganaine|čigana/an'e ~ cigana/an'e, -ažen, -št|цыган; комар|mustalainen; hyttynen|||||||||
s.|čiganan-|čiganan-|цыганский|romani-|||||||||
s.|čigananarttel’|čiganan/art’el’|табор|romanileiri|||||||||
s.|čiganih|čigan’ih, -an, -ad|цыганка|romaninainen|||||||||
s.|čiganoidenarttel’|čiganuun/art’el’|табор|romanileiri|||||||||
v.|čihnida|čihn’i/da, -b, -i|чихать|aivastaa|||||||||
s.|čiilahaine|čihla/an’e ~ s'ihla/an'e (PN), -ažen, -št|крапива|nokkonen|||||||||
v.|čikettada|čike/tada, -tab, -t’ ~ -t’ii|щебетать||l’induin’e čiketab|птичка щебечет|||||||
s.|cikl|cikl, -an, -ad|цикл||||||||||
s.|ciklon|ciklon, -an, -ad|циклон||||||||||
v.|čilkaita|čilkaa/ta, -dab, -ž ~ -žii (IL)|чокать|kilistää|||||||||
s.|cink|cink, -an, -ad|цинк|sinkki|||||||||
s.|čirčetand|čirčetand, -an, -ad|щебет||||||||||
v.|čirišta|čir’i/šta, -žob, -ž ~ -žii|щебетать||||||||||
s.|cirk|cirk, -an, -ad|цирк|sirkus|||||||||
v.|čirknida|čirkn'i/da, -b, -i|чиркнуть||||||||||
v.|čirkoita|čirkuuta|чирикать||||||||||
s.|čisl|čisl, -an, -ad|число|luku|||||||||
v.|čistida|čis/ta, -t'ib, -t'ii|чистить|puhdistaa|||||||||
s.|citat|citat, -an, -ad|цитата|sitaatti, lainaus|||||||||
s.|člien|čl'ien, -an, -ad|член|jäsen|||||||||
adv.|čomas|čomas|красиво|kauniisti|čomas s’el’ginuze|разодетый, разодевшийся|kauniisti pukeutunut||||||
v.|čomendoittada|čomenduu/tta, -tab, -t’ ~ -t’ii|украсить|koristaa, kaunistaa|||||||||
s.|čomenduz|čomendu/z, -sen, -st|украшение|koristus|||||||||
s.|čomuz|čomu/z, -sen, -st|красота, краса|kauneus|||||||||
s.|čort|čort, -an, -ad|чёрт|piru|||||||||
s.|čortan-|čortan-|чёртов|pirun-|||||||||
v.|čotaida|čota/ada, -ab, -a|считать|laskea|||||||||
s. yhd.|cuarinakk|cuar’in/akk|царица|tsaaritar|||||||||
s. yhd.|cuarinpoig|cuar’im- ~ suar’im/poig|царевич|tsaarin poika|||||||||
s. yhd.|cuarintütär|cuar’in- ~ suar’in/t’ütar|царевна|tsaarin tytär|||||||||
s.|cuarstv|cuarstv, -an, -ad|царство|valtakunta|||||||||
s.|čuašk|čuašk, -an, -ad|чашка|kuppi|panda čuašk|пославить чашку|panna kuppi||||||
